community_id,method,step_index,step_order,target_window_label,n_users,F,L,Q,baseline_window,baseline_F,baseline_L,baseline_Q,aggregate
4,static_s0,3,3,W4,100,0.3168685843,0.1785547695,0.2615430584,W1,0.3617540257,0.1705616613,0.2852770799,mean
4,static_s0,4,4,W5,100,0.3413258986,0.1792247506,0.2764854394,W1,0.3617540257,0.1705616613,0.2852770799,mean
4,prefix_refresh,0,0,W1,100,0.3814074899,0.1826037509,0.3018859943,W1,0.3814074899,0.1826037509,0.3018859943,mean
4,prefix_refresh,1,1,W2,100,0.3683538886,0.1812405405,0.2935085494,W1,0.3814074899,0.1826037509,0.3018859943,mean
4,prefix_refresh,2,2,W3,100,0.313063469,0.1852383518,0.2619334222,W1,0.3814074899,0.1826037509,0.3018859943,mean
4,prefix_refresh,3,3,W4,100,0.3281069636,0.1723681865,0.2658114528,W1,0.3814074899,0.1826037509,0.3018859943,mean
4,prefix_refresh,4,4,W5,100,0.3616615881,0.1629855458,0.2821911712,W1,0.3814074899,0.1826037509,0.3018859943,mean
4,history_only,0,0,W1,100,0.3648231524,0.1420824064,0.275726854,W1,0.3648231524,0.1420824064,0.275726854,mean
4,history_only,1,1,W2,100,0.379506864,0.1247271245,0.2775949682,W1,0.3648231524,0.1420824064,0.275726854,mean
4,history_only,2,2,W3,100,0.3245113424,0.1241925206,0.2443838137,W1,0.3648231524,0.1420824064,0.275726854,mean
4,history_only,3,3,W4,100,0.2945667732,0.1299068466,0.2287028026,W1,0.3648231524,0.1420824064,0.275726854,mean
4,history_only,4,4,W5,100,0.3488308308,0.136675465,0.2639686844,W1,0.3648231524,0.1420824064,0.275726854,mean
4,incremental_persona,0,0,W1,100,0.3732210961,0.1821014176,0.2967732247,W1,0.3732210961,0.1821014176,0.2967732247,mean
4,incremental_persona,1,1,W2,100,0.3738824901,0.1835393436,0.2977452315,W1,0.3732210961,0.1821014176,0.2967732247,mean
4,incremental_persona,2,2,W3,100,0.2887900652,0.1852990735,0.2473936685,W1,0.3732210961,0.1821014176,0.2967732247,mean
4,incremental_persona,3,3,W4,100,0.2976344694,0.1733249571,0.2479106645,W1,0.3732210961,0.1821014176,0.2967732247,mean
4,incremental_persona,4,4,W5,100,0.3445402401,0.1904203878,0.2828922992,W1,0.3732210961,0.1821014176,0.2967732247,mean
4,clasp_online,0,0,W1,100,0.452893544,0.1786949122,0.3432140913,W1,0.452893544,0.1786949122,0.3432140913,mean
4,clasp_online,1,1,W2,100,0.4663434787,0.2022263592,0.3606966309,W1,0.452893544,0.1786949122,0.3432140913,mean
4,clasp_online,2,2,W3,100,0.4759393468,0.1945461125,0.3633820531,W1,0.452893544,0.1786949122,0.3432140913,mean
4,clasp_online,3,3,W4,100,0.4082640097,0.1910059591,0.3413607895,W1,0.452893544,0.1786949122,0.3432140913,mean
4,clasp_online,4,4,W5,100,0.4686589287,0.1897176896,0.3570824331,W1,0.452893544,0.1786949122,0.3432140913,mean
6,static_s0,0,0,W1,100,0.4004319231,0.1758642801,0.3106048659,W1,0.4004319231,0.1758642801,0.3106048659,mean
6,static_s0,1,1,W2,100,0.3837416436,0.1868134505,0.3049703664,W1,0.4004319231,0.1758642801,0.3106048659,mean
6,static_s0,2,2,W3,100,0.3292000065,0.1855516971,0.2717406828,W1,0.4004319231,0.1758642801,0.3106048659,mean
6,static_s0,3,3,W4,100,0.3674420625,0.1818914948,0.2932218354,W1,0.4004319231,0.1758642801,0.3106048659,mean
6,static_s0,4,4,W5,100,0.4073920571,0.1931407642,0.3216915399,W1,0.4004319231,0.1758642801,0.3106048659,mean
6,prefix_refresh,0,0,W1,100,0.4052941738,0.1763307674,0.3137088112,W1,0.4052941738,0.1763307674,0.3137088112,mean
6,prefix_refresh,1,1,W2,100,0.3990961274,0.188217985,0.3147448704,W1,0.4052941738,0.1763307674,0.3137088112,mean
6,prefix_refresh,2,2,W3,100,0.3282615834,0.1836065014,0.2703995506,W1,0.4052941738,0.1763307674,0.3137088112,mean
6,prefix_refresh,3,3,W4,100,0.3767619891,0.1957529576,0.3043583765,W1,0.4052941738,0.1763307674,0.3137088112,mean
6,prefix_refresh,4,4,W5,100,0.4036276556,0.1887305231,0.3176688026,W1,0.4052941738,0.1763307674,0.3137088112,mean
6,history_only,0,0,W1,100,0.3844938889,0.1447978845,0.2886154872,W1,0.3844938889,0.1447978845,0.2886154872,mean
6,history_only,1,1,W2,100,0.3930075968,0.14218852,0.2926799661,W1,0.3844938889,0.1447978845,0.2886154872,mean
6,history_only,2,2,W3,100,0.3648991629,0.1455324439,0.2771524753,W1,0.3844938889,0.1447978845,0.2886154872,mean
6,history_only,3,3,W4,100,0.3743895696,0.1359280596,0.2790049656,W1,0.3844938889,0.1447978845,0.2886154872,mean
6,history_only,4,4,W5,100,0.383199125,0.1457758096,0.2882297989,W1,0.3844938889,0.1447978845,0.2886154872,mean
6,incremental_persona,0,0,W1,100,0.3978648309,0.1835905903,0.3121551346,W1,0.3978648309,0.1835905903,0.3121551346,mean
6,incremental_persona,1,1,W2,100,0.3960192268,0.1966018469,0.3162522749,W1,0.3978648309,0.1835905903,0.3121551346,mean
6,incremental_persona,2,2,W3,100,0.3213729119,0.1892694569,0.2685315299,W1,0.3978648309,0.1835905903,0.3121551346,mean
6,incremental_persona,3,3,W4,100,0.3591119896,0.1881700256,0.290735204,W1,0.3978648309,0.1835905903,0.3121551346,mean
6,incremental_persona,4,4,W5,100,0.4128480371,0.2015205035,0.3283170236,W1,0.3978648309,0.1835905903,0.3121551346,mean
6,clasp_online,0,0,W1,100,0.463620671,0.1751094441,0.3482161802,W1,0.463620671,0.1751094441,0.3482161802,mean
6,clasp_online,1,1,W2,100,0.4800357401,0.1945992084,0.3658611274,W1,0.463620671,0.1751094441,0.3482161802,mean
6,clasp_online,2,2,W3,100,0.4512513992,0.1969823571,0.3495437823,W1,0.463620671,0.1751094441,0.3482161802,mean
6,clasp_online,3,3,W4,100,0.4757373113,0.1805900101,0.3576783908,W1,0.463620671,0.1751094441,0.3482161802,mean
